note_id,guid,model,old_decks_for_missing_cards,note_exists_in_newer_backup,fields_preview
1778212762984,ghK}&Uz|&~,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,An {{c1::arterialized}} venous waveform in a vein suggests {{c2::an arteriovenous fistula}}. |
1778212762987,PHPJ0;h!oS,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Proximal to an AV fistula, the feeding artery waveform may show {{c1::high-flow, low-resistance arterial flow with increased antegrade diastolic flow}} rather than the expected {{c2::high-resistance}} peripheral arterial waveform. |"
1778212762990,N.s?6!)s5Q,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Distal to an AV fistula, the native artery may show {{c1::retrograde diastolic flow}} due to {{c2::steal into the low-resistance fistula}}. |"
1778212762993,xG5=4=76hO,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,A significant postprocedural AV fistula may be managed with {{c1::a covered stent}}. |
1778212762995,"rQ,Lt+2hu$",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"A small, recent, asymptomatic postprocedural AV fistula may be managed with {{c1::conservative follow-up}}. |"
1778212762997,D9tk)a4-ix,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Direct Doppler criteria for renal artery stenosis include PSV {{c1::greater than 200}} cm/s, {{c4::renal artery-to-aorta}} ratio {{c2::greater than 3.5:1}}, and {{c3::spectral broadening}} from turbulence. |"
1778212763002,"i<,i~h+4&B",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Indirect downstream findings of renal artery stenosis include {{c1::tardus parvus waveform}}, {{c2::delayed systolic acceleration}}, and/or {{c3::post-stenotic low-resistance waveform}}. |"
1778212763006,q[OTI|SV!S,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,{{c2::Delayed systolic acceleration}} in renal artery stenosis means acceleration time is {{c1::greater than 70}} milliseconds. |
1778212763009,bewT}VisO2,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"In renal artery fibromuscular dysplasia, stenoses are often {{c1::not ostial}}, so PSV may be normal at the sampled location despite downstream {{c2::tardus parvus / delayed acceleration}}. |"
1778212763012,"dKoHh7XA1,",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,{{c2::Echogenic}} material on ultrasound in the main portal vein indicates {{c1::portal vein thrombus}}. |
1778212763015,"Agz,F_ZN!l",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Untreated chronic portal vein thrombosis can progress to {{c1::cavernous transformation}}, with a shrunken portal vein and collateral cluster. |"
1778212763017,PXJldKz~t^,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Do not call portal hypertension based on portal vein size until the portal vein is {{c1::greater than 1.5 cm}}. |
1778212763019,b8A88b^fKD,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"If the apparent portal vein is {{c1::less than 7}} millimeters, question whether it is truly the portal vein and consider {{c2::cavernous transformation}}. |"
1778212763022,IPHx!?kZoN,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,{{c2::Doppler flow}} within portal vein thrombus helps distinguish {{c1::tumor thrombus}} from {{c1::bland thrombus}}. |
1778212763025,Osaf:MVTzr,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Complete reversal of flow in the vertebral artery indicates {{c1::severe subclavian steal physiology}}. |
