id,guid,status,changed_fields,content_changed_fields,live_note_id,package_text_preview,live_text_preview,package_extra_preview,live_extra_preview
visual-metastatic-calcifications,C4Tlb1[qZs,content unchanged,Tags,,1779487982875,"Fatigue, bone pain, hypoalbuminemia, and renal insufficiency with this bone scan pattern. Most likely diagnosis? {{c1::Metastatic calcifica...","Fatigue, bone pain, hypoalbuminemia, and renal insufficiency with this bone scan pattern. Most likely diagnosis? {{c1::Metastatic calcifica...","Nukes Quiz Session. Soft tissue uptake in the thyroid, lungs, stomach, liver, and kidneys supports metastatic calcification.","Nukes Quiz Session. Soft tissue uptake in the thyroid, lungs, stomach, liver, and kidneys supports metastatic calcification."
visual-rhabdomyolysis,s%DvG<$v.},content unchanged,Tags,,1779487982877,"Three-hour delayed Tc-99m MDP images. Most likely diagnosis? {{c1::Severe rhabdomyolysis}} <div><img src=""notion_nukes_20260522_23_rhabdomy...","Three-hour delayed Tc-99m MDP images. Most likely diagnosis? {{c1::Severe rhabdomyolysis}} <div><img src=""notion_nukes_20260522_23_rhabdomy...",Nukes Quiz Session. Severe rhabdomyolysis can produce prominent soft tissue/muscle uptake on delayed Tc-99m MDP imaging.,Nukes Quiz Session. Severe rhabdomyolysis can produce prominent soft tissue/muscle uptake on delayed Tc-99m MDP imaging.
visual-shin-splints-two-images,"jKA<MoFaT,",content unchanged,Tags,,1779487982879,"21-year-old athlete with bilateral linear tibial uptake. Most likely diagnosis? {{c1::Shin splints}} <div>1/2</div><div><img src=""notion_nu...","21-year-old athlete with bilateral linear tibial uptake. Most likely diagnosis? {{c1::Shin splints}} <div>1/2</div><div><img src=""notion_nu...",Nukes Quiz Session. Shin splints show irregular linear uptake along the posteromedial and anterolateral tibiae.,Nukes Quiz Session. Shin splints show irregular linear uptake along the posteromedial and anterolateral tibiae.
visual-tibial-stress-fracture-1,"O3+&R,8!v9",content unchanged,Tags,,1779487982881,"21-year-old athlete with focal tibial uptake. Most likely diagnosis? {{c1::Tibial stress fracture}} <div><img src=""notion_nukes_20260522_28...","21-year-old athlete with focal tibial uptake. Most likely diagnosis? {{c1::Tibial stress fracture}} <div><img src=""notion_nukes_20260522_28...",Nukes Quiz Session. Tibial stress fracture is more focal than the elongated linear uptake of shin splints.,Nukes Quiz Session. Tibial stress fracture is more focal than the elongated linear uptake of shin splints.
visual-shin-splints-1,Gmt{Y`h#!G,content changed in Anki,"Text, Tags",Text,1779487982883,"21-year-old athlete with this tibial bone scan pattern. Most likely diagnosis? {{c1::Shin splints}} <div><img src=""notion_nukes_20260522_29...","21-year-old athlete. Most likely diagnosis? {{c1::Shin splints}} <div><img src=""notion_nukes_20260522_29_shin-splints-1.png""></div>",Nukes Quiz Session. Three-phase bone scintigraphy can help distinguish shin splints from tibial stress fracture.,Nukes Quiz Session. Three-phase bone scintigraphy can help distinguish shin splints from tibial stress fracture.
visual-tibial-stress-fracture-2,"iA}oNQ/w,m",content unchanged,Tags,,1779487982885,"21-year-old athlete with this tibial bone scan finding. Most likely diagnosis? {{c1::Tibial stress fracture}} <div><img src=""notion_nukes_2...","21-year-old athlete with this tibial bone scan finding. Most likely diagnosis? {{c1::Tibial stress fracture}} <div><img src=""notion_nukes_2...",Nukes Quiz Session. A focal cortical tibial abnormality is the key visual distinction from shin splints.,Nukes Quiz Session. A focal cortical tibial abnormality is the key visual distinction from shin splints.
visual-breast-uptake,ED@l$3so|0,content unchanged,Tags,,1779487982887,36-year-old woman with diffuse bone pain and asymmetric breast uptake on bone scintigraphy. Most concerning diagnosis? {{c1::Breast maligna...,36-year-old woman with diffuse bone pain and asymmetric breast uptake on bone scintigraphy. Most concerning diagnosis? {{c1::Breast maligna...,"Nukes Quiz Session. Asymmetric right breast uptake is concerning for malignancy; diagnostic mammography is the next step. <div><img src=""no...","Nukes Quiz Session. Asymmetric right breast uptake is concerning for malignancy; diagnostic mammography is the next step. <div><img src=""no..."
visual-neuroblastoma,Qnm?84([}q,content unchanged,Tags,,1779487982889,"2-year-old with this bone scintigraphy pattern. Most likely diagnosis? {{c1::Neuroblastoma}} <div>1/2</div><div><img src=""notion_nukes_2026...","2-year-old with this bone scintigraphy pattern. Most likely diagnosis? {{c1::Neuroblastoma}} <div>1/2</div><div><img src=""notion_nukes_2026...",Nukes Quiz Session. Neuroblastoma demonstrates bone-scan avidity in about 30-50% of cases because of microcalcification.,Nukes Quiz Session. Neuroblastoma demonstrates bone-scan avidity in about 30-50% of cases because of microcalcification.
visual-crps,wOHrK>`hVh,content unchanged,Tags,,1779487982891,22-year-old woman with persistent right lower extremity pain after a car accident. Most likely diagnosis? {{c1::Complex regional pain syndr...,22-year-old woman with persistent right lower extremity pain after a car accident. Most likely diagnosis? {{c1::Complex regional pain syndr...,Nukes Quiz Session. CRPS can show abnormal regional periarticular uptake on three-phase bone scintigraphy.,Nukes Quiz Session. CRPS can show abnormal regional periarticular uptake on three-phase bone scintigraphy.
visual-sickle-cell,uaD6By#[Ao,content unchanged,Tags,,1779487982893,"Bone scan with renal cortical uptake, atrophic spleen, and heterogeneous long bone activity. Most likely diagnosis? {{c1::Sickle cell anemi...","Bone scan with renal cortical uptake, atrophic spleen, and heterogeneous long bone activity. Most likely diagnosis? {{c1::Sickle cell anemi...","Nukes Quiz Session. The pattern includes renal cortical uptake, splenic atrophy, and long-bone heterogeneity from prior infarcts.","Nukes Quiz Session. The pattern includes renal cortical uptake, splenic atrophy, and long-bone heterogeneity from prior infarcts."
visual-ivc-obstruction,l{cS.)Y2=_,content unchanged,Tags,,1779487982895,Metastatic prostate cancer with diffusely increased soft tissue radiotracer retention below the thorax. Vascular abnormality? {{c1::IVC obs...,Metastatic prostate cancer with diffusely increased soft tissue radiotracer retention below the thorax. Vascular abnormality? {{c1::IVC obs...,Nukes Quiz Session. The Wader sign is diffuse soft tissue retention below the thorax with normal clearance above that level. <div><img src=...,Nukes Quiz Session. The Wader sign is diffuse soft tissue retention below the thorax with normal clearance above that level. <div><img src=...
visual-osteonecrosis-mandible,r/A9;tB_W{,content unchanged,Tags,,1779487982897,"Mandibular bone scan finding shown. Most likely diagnosis? {{c1::Osteonecrosis of the mandible}} <div><img src=""notion_nukes_20260522_43_os...","Mandibular bone scan finding shown. Most likely diagnosis? {{c1::Osteonecrosis of the mandible}} <div><img src=""notion_nukes_20260522_43_os...","Nukes Quiz Session. The same study also shows left hydronephrosis, likely due to obstruction.","Nukes Quiz Session. The same study also shows left hydronephrosis, likely due to obstruction."
visual-nonviable-flap,occ^eQT{xc,content unchanged,Tags,,1779487982899,"After partial glossectomy, segmental mandibulectomy, and left radial forearm free flap. Most likely diagnosis? {{c1::Nonviable flap}} <div>...","After partial glossectomy, segmental mandibulectomy, and left radial forearm free flap. Most likely diagnosis? {{c1::Nonviable flap}} <div>...","Nukes Quiz Session. Absent radiotracer uptake in the mandible, best seen on SPECT, supports a nonviable flap.","Nukes Quiz Session. Absent radiotracer uptake in the mandible, best seen on SPECT, supports a nonviable flap."
visual-hyperostosis-frontalis,Cau1pGqo`Q,content unchanged,Tags,,1779487982901,Skull findings on bone scintigraphy in a patient with prostate cancer. Most likely diagnosis? {{c1::Hyperostosis frontalis}} <div>1/2</div>...,Skull findings on bone scintigraphy in a patient with prostate cancer. Most likely diagnosis? {{c1::Hyperostosis frontalis}} <div>1/2</div>...,Nukes Quiz Session. Hyperostosis frontalis can mimic skull metastases but has a characteristic frontal calvarial distribution.,Nukes Quiz Session. Hyperostosis frontalis can mimic skull metastases but has a characteristic frontal calvarial distribution.
visual-node-level-x,jM#6!+(]X},content changed in Anki,"Text, Tags",Text,1779487982903,"What cervical lymph node level is represented by the light blue and white regions? {{c1::Level X}} <div><img src=""notion_nukes_20260522_47_...",What cervical lymph node level is represented by the light blue and white regions? {{c1::Level X (retroauricular/retromastoid or suboccipit...,"Nukes Quiz Session. For routine radiology, describe very high mastoid/occipital nodes anatomically as retroauricular/retromastoid or subocc...","Nukes Quiz Session. For routine radiology, describe very high mastoid/occipital nodes anatomically as retroauricular/retromastoid or subocc..."
visual-node-level-viii,k{mMQQ!}jH,content unchanged,Tags,,1779487982905,"What cervical lymph node level is represented by the dark blue region? {{c1::Level VIII}} <div><img src=""notion_nukes_20260522_48_node-leve...","What cervical lymph node level is represented by the dark blue region? {{c1::Level VIII}} <div><img src=""notion_nukes_20260522_48_node-leve...",Nukes Quiz Session. Level VIII refers to parotid-region nodes in the expanded nodal atlas.,Nukes Quiz Session. Level VIII refers to parotid-region nodes in the expanded nodal atlas.
visual-node-level-vii,H$AmH~im5X,content unchanged,Tags,,1779487982907,"What cervical lymph node level is represented by the red and pinkish-purple regions? {{c1::Level VII}} <div><img src=""notion_nukes_20260522...","What cervical lymph node level is represented by the red and pinkish-purple regions? {{c1::Level VII}} <div><img src=""notion_nukes_20260522...",Nukes Quiz Session. Level VII includes retropharyngeal/retro-styloid nodal regions in the expanded nodal atlas.,Nukes Quiz Session. Level VII includes retropharyngeal/retro-styloid nodal regions in the expanded nodal atlas.
visual-node-level-i,oj7vtc|Qyi,content changed in Anki,"Text, Tags",Text,1779487982909,"What cervical lymph node level is represented by the light blue and hot pink regions? {{c1::Level I}} <div><img src=""notion_nukes_20260522_...","What cervical lymph node level is represented by the blue and reddish-pink regions? {{c1::Level I}} <div><img src=""notion_nukes_20260522_50...",Nukes Quiz Session. Level I includes submental IA and submandibular IB nodes.,Nukes Quiz Session. Level I includes submental IA and submandibular IB nodes.
visual-node-level-ii,L#Fiu2g`nL,content unchanged,Tags,,1779487982911,"What cervical lymph node level is represented by the yellow and green regions? {{c1::Level II}} <div><img src=""notion_nukes_20260522_51_nod...","What cervical lymph node level is represented by the yellow and green regions? {{c1::Level II}} <div><img src=""notion_nukes_20260522_51_nod...","Nukes Quiz Session. Level II spans skull base to lower hyoid, posterior to the submandibular gland and anterior to posterior SCM.","Nukes Quiz Session. Level II spans skull base to lower hyoid, posterior to the submandibular gland and anterior to posterior SCM."
t-score-normal,J5I%^hZ)GY,content unchanged,Tags,,1779487982913,A normal DEXA T-score is {{c1::-1.0 or higher}}.,A normal DEXA T-score is {{c1::-1.0 or higher}}.,"Nukes Quiz Session. Parallel T-score thresholds: normal, osteopenia, osteoporosis.","Nukes Quiz Session. Parallel T-score thresholds: normal, osteopenia, osteoporosis."
t-score-osteopenia,DX)P5][u.:,content unchanged,Tags,,1779487982915,Osteopenia/low bone mass is a DEXA T-score {{c1::between -1.0 and -2.5}}.,Osteopenia/low bone mass is a DEXA T-score {{c1::between -1.0 and -2.5}}.,"Nukes Quiz Session. Parallel T-score thresholds: normal, osteopenia, osteoporosis.","Nukes Quiz Session. Parallel T-score thresholds: normal, osteopenia, osteoporosis."
t-score-osteoporosis,e-V>S)VSPA,content unchanged,Tags,,1779487982917,Osteoporosis is a DEXA T-score {{c1::-2.5 or lower}}.,Osteoporosis is a DEXA T-score {{c1::-2.5 or lower}}.,"Nukes Quiz Session. Parallel T-score thresholds: normal, osteopenia, osteoporosis.","Nukes Quiz Session. Parallel T-score thresholds: normal, osteopenia, osteoporosis."
z-score-under-50,K7yGRAp/dI,content changed in Anki,"Text, Tags",Text,1779487982919,"{{c1::Z-scores}} are used for bone density evaluation in {{c2::premenopausal women, men younger than 50 years, and children younger than 20...","{{c1::Z}}-scores are used for bone density evaluation in {{c2::premenopausal women, men younger than 50 years, and children younger than 20...","Nukes Quiz Session. In practical terms, use Z-scores for essentially all patients under 50.","Nukes Quiz Session. In practical terms, use Z-scores for essentially all patients under 50."
ewing-lung-mdp,Q8:.4Mcn#=,content changed in Anki,"Text, Tags",Text,1779487982922,Lung metastases from {{c1::Ewing sarcoma}} are {{c2::not expected}} to show intense Tc-99m MDP uptake.,Lung metastases from {{c1::Ewing}}-sarcoma are {{c2::not expected}} to show intense Tc-99m MDP uptake.,Nukes Quiz Session. This contrasts with osteosarcoma lung metastases.,Nukes Quiz Session. This contrasts with osteosarcoma lung metastases.
osteosarcoma-lung-mdp,OS*!>Dz<YD,content changed in Anki,"Text, Tags",Text,1779487982925,Lung metastases from {{c1::osteosarcoma}} can show {{c2::intense Tc-99m MDP uptake}}.,Lung metastases from {{c1::osteo}}-sarcoma can show {{c2::intense Tc-99m MDP uptake}}.,Nukes Quiz Session. Osteoid-producing metastases can be bone-scan avid.,Nukes Quiz Session. Osteoid-producing metastases can be bone-scan avid.
shin-splints-location,fl+HLtN|zi,content unchanged,Tags,,1779487982928,Shin splints show irregular linear uptake along the {{c1::posteromedial and anterolateral tibiae}}.,Shin splints show irregular linear uptake along the {{c1::posteromedial and anterolateral tibiae}}.,Nukes Quiz Session. This is the key pattern distinction from focal tibial stress fracture.,Nukes Quiz Session. This is the key pattern distinction from focal tibial stress fracture.
three-phase-shin-splints,C)oYZ<?|E],content unchanged,Tags,,1779487982930,{{c1::Three-phase bone scintigraphy}} can help diagnose and distinguish {{c2::shin splints}} from {{c3::tibial stress fractures}}.,{{c1::Three-phase bone scintigraphy}} can help diagnose and distinguish {{c2::shin splints}} from {{c3::tibial stress fractures}}.,Nukes Quiz Session. This is the practical reason to know the scan protocol.,Nukes Quiz Session. This is the practical reason to know the scan protocol.
neuroblastoma-bone-avidity,k{igF;doUU,content unchanged,Tags,,1779487982934,Neuroblastomas are avid on bone scintigraphy about {{c1::30-50%}} of the time because they can contain {{c2::microcalcification}}.,Neuroblastomas are avid on bone scintigraphy about {{c1::30-50%}} of the time because they can contain {{c2::microcalcification}}.,Nukes Quiz Session. Rhabdomyosarcoma and Wilms tumor do not typically show this avidity.,Nukes Quiz Session. Rhabdomyosarcoma and Wilms tumor do not typically show this avidity.
rhabdomyosarcoma-bone-avidity,j5DD;?96IE,content unchanged,Tags,,1779487982937,{{c1::Rhabdomyosarcoma}} is {{c2::not expected}} to demonstrate avidity on bone scintigraphy.,{{c1::Rhabdomyosarcoma}} is {{c2::not expected}} to demonstrate avidity on bone scintigraphy.,Nukes Quiz Session. This contrasts with neuroblastoma.,Nukes Quiz Session. This contrasts with neuroblastoma.
wilms-bone-avidity,o)2OL4Q;$v,content unchanged,Tags,,1779487982940,{{c1::Wilms tumor}} is {{c2::not expected}} to demonstrate avidity on bone scintigraphy.,{{c1::Wilms tumor}} is {{c2::not expected}} to demonstrate avidity on bone scintigraphy.,Nukes Quiz Session. This contrasts with neuroblastoma.,Nukes Quiz Session. This contrasts with neuroblastoma.
